Type,IndexingTime
default,6416.0
default,4491.0
default,4368.0
default,4426.0
default,4389.0
default,4417.0
default,4378.0
default,4671.0
default,4420.0
default,4352.0
parallel,1977.0
parallel,1847.0
parallel,2188.0
parallel,1789.0
parallel,2042.0
parallel,1812.0
parallel,1772.0
parallel,1826.0
parallel,1742.0
parallel,1788.0
batch,1789.0
batch,1766.0
batch,1838.0
batch,2048.0
batch,1876.0
batch,1800.0
batch,1777.0
batch,1741.0
batch,1862.0
batch,1885.0
