Type,IndexingTime
default,168.0
default,147.0
default,150.0
default,144.0
default,149.0
default,164.0
default,154.0
default,149.0
default,155.0
default,144.0
parallel,145.0
parallel,142.0
parallel,143.0
parallel,143.0
parallel,147.0
parallel,144.0
parallel,143.0
parallel,148.0
parallel,143.0
parallel,142.0
batch,148.0
batch,144.0
batch,149.0
batch,146.0
batch,146.0
batch,145.0
batch,157.0
batch,148.0
batch,151.0
batch,144.0
